episode,system,total_reward,deliveries_completed,deliveries_total,success_rate,rule_violations,collisions,battery_failures,steps,avg_battery_remaining,symbolic_interventions,timestamp
136,neuro_dqn,-1695.3000736571848,2,10,0.2,3,0,0,500,3.7399999999999496,1817,2026-05-22T16:45:42
137,neuro_dqn,-749.3500704281032,5,10,0.5,0,0,0,500,19.51999999999972,2269,2026-05-22T16:45:47
138,neuro_dqn,-1357.450067628175,3,10,0.3,0,2,0,500,18.45999999999986,1956,2026-05-22T16:45:51
139,neuro_dqn,-2237.3500873818994,3,10,0.3,68,0,0,500,6.399999999999805,2255,2026-05-22T16:45:57
140,neuro_dqn,-5314.600042197853,6,10,0.6,327,0,0,500,27.83999999999974,2099,2026-05-22T16:46:02
141,neuro_dqn,-1266.5000585280359,3,10,0.3,0,0,0,500,13.57999999999979,2069,2026-05-22T16:46:07
142,neuro_dqn,-6394.650049321353,4,10,0.4,379,0,0,500,8.139999999999777,1966,2026-05-22T16:46:12
143,neuro_dqn,-2296.6500816829503,4,10,0.4,87,0,0,500,7.879999999999917,1803,2026-05-22T16:46:16
144,neuro_dqn,305.09992948919535,8,10,0.8,0,0,0,500,23.85999999999985,1846,2026-05-22T16:46:21
145,neuro_dqn,-2263.3001000136137,6,10,0.6,88,0,0,500,4.439999999999854,2006,2026-05-22T16:46:25
146,neuro_dqn,-2036.7000941336155,4,10,0.4,43,0,0,500,7.119999999999891,2049,2026-05-22T16:46:30
147,neuro_dqn,-639.4500739686191,7,10,0.7,0,0,0,500,14.43999999999977,2230,2026-05-22T16:46:36
148,neuro_dqn,-1202.0500727295876,4,10,0.4,0,0,0,500,2.6999999999999686,1832,2026-05-22T16:46:40
149,neuro_dqn,-1220.0500739999115,5,10,0.5,0,0,0,500,16.019999999999893,1973,2026-05-22T16:46:45
150,neuro_dqn,-3916.3000763617456,4,10,0.4,177,0,0,500,7.039999999999717,2203,2026-05-22T16:46:50
151,neuro_dqn,-1806.8000726923347,4,10,0.4,77,0,0,500,35.11999999999971,2495,2026-05-22T16:46:57
152,neuro_dqn,-13618.80005883798,2,10,0.2,813,0,0,500,8.659999999999846,2212,2026-05-22T16:47:03
153,neuro_dqn,-1164.100054204464,2,10,0.2,0,0,0,500,20.039999999999843,1826,2026-05-22T16:47:07
154,neuro_dqn,-1244.0000738985837,3,10,0.3,0,0,0,500,10.539999999999932,1905,2026-05-22T16:47:11
155,neuro_dqn,-623.5000802539289,5,10,0.5,0,0,0,500,3.7799999999998546,1833,2026-05-22T16:47:16
156,neuro_dqn,-7130.75006198138,3,10,0.3,412,0,0,500,36.29999999999973,2298,2026-05-22T16:47:21
157,neuro_dqn,-1791.35007077083,1,10,0.1,0,0,0,500,4.719999999999766,2108,2026-05-22T16:47:27
158,neuro_dqn,-1055.1000644862652,5,10,0.5,0,0,0,500,14.979999999999844,2062,2026-05-22T16:47:32
159,neuro_dqn,-949.8500599600375,5,10,0.5,0,0,0,500,12.239999999999744,1889,2026-05-22T16:47:36
160,neuro_dqn,-378.9000443331897,3,10,0.3,0,0,0,500,29.93999999999973,2097,2026-05-22T16:47:41
161,neuro_dqn,-1124.4500655829906,3,10,0.3,0,1,0,500,5.639999999999932,1890,2026-05-22T16:47:46
162,neuro_dqn,-232.7000495158136,5,10,0.5,0,0,0,500,35.579999999999416,2454,2026-05-22T16:47:52
163,neuro_dqn,-1975.4500515423715,0,10,0.0,49,0,0,500,14.1999999999996,2323,2026-05-22T16:47:57
164,neuro_dqn,157.39993814006448,9,10,0.9,2,6,0,500,40.91999999999945,2481,2026-05-22T16:48:03
165,neuro_dqn,-438.8000718727708,5,10,0.5,0,0,0,500,23.939999999999703,2122,2026-05-22T16:48:08
166,neuro_dqn,-2305.0000780560076,4,10,0.4,95,0,0,500,11.899999999999867,1980,2026-05-22T16:48:12
167,neuro_dqn,-1238.600058335811,1,10,0.1,0,0,0,500,9.259999999999915,1711,2026-05-22T16:48:17
168,neuro_dqn,-7.6000534780323505,8,10,0.8,2,0,0,500,55.959999999999525,2476,2026-05-22T16:48:23
169,neuro_dqn,-1818.7000892795622,3,10,0.3,0,0,0,500,3.1199999999999486,1971,2026-05-22T16:48:27
170,neuro_dqn,-1253.8000783212483,4,10,0.4,0,4,0,500,8.159999999999801,1993,2026-05-22T16:48:32
171,neuro_dqn,-902.4000771716237,6,10,0.6,0,0,0,500,29.65999999999972,2310,2026-05-22T16:48:37
172,neuro_dqn,-526.6000649370253,6,10,0.6,4,0,0,500,20.459999999999486,2491,2026-05-22T16:48:43
173,neuro_dqn,-1796.7500773519278,4,10,0.4,55,0,0,500,11.319999999999755,2336,2026-05-22T16:48:49
